,Acronym,Snomed_CT,Diagnostic_Snomed_CT,Details,Superclass_ID,Superclass,Motivo,Fonte,CPSC,Chapman-Shaoxing-Ningbo,CPSC-Extra,PTB,PTBxl,G12EC
,AFLT,164890007,EKG: atrial flutter,Electrocardiographic atrial flutter (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,1,1,1,1
,AH,195126007,Atrial hypertrophy,Atrial hypertrophy (disorder),HYP,Hypertrophy/Enlargement,"O código SNOMED descreve hipertrofia, aumento ou anormalidade de câmaras cardíacas; alterações de câmaras são uma categoria diagnóstica reconhecida no ECG e mapeável para HYP.","AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,0,1
,AIVR,61277005,Accelerated idioventricular rhythm,Accelerated idioventricular rhythm (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,0,0,0,1
,AJR,426664006,EKG: accelerated junctional rhythm,Electrocardiographic accelerated junctional rhythm (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,0,0,0,1
,ALAD,39732003,Left axis deviation,Left axis deviation (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,1,0,0,1,1
,ALMI,164865005,EKG: myocardial infarction,Electrocardiographic myocardial infarction (finding),MI,Myocardial Infarction,"O código SNOMED indica infarto/necrose miocárdica aguda, antiga ou regional; a agregação em MI segue a organização diagnóstica usada em ECG e em bases como PTB-XL.","AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,1,1,1,1
,ALR,251139008,Suspect arm ECG leads reversed,Suspect arm electrocardiogram leads reversed (finding),TECH,Technical/Artifact,"O código SNOMED descreve artefato técnico ou posicionamento/reversão de eletrodos, não uma doença cardíaca primária; para ML, é uma camada de qualidade/técnica em vez de diagnóstico clínico.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/,0,0,0,0,0,1
,AMI,54329005,Acute myocardial infarction of anterior wall,Acute myocardial infarction of anterior wall (disorder),MI,Myocardial Infarction,"O código SNOMED indica infarto/necrose miocárdica aguda, antiga ou regional; a agregação em MI segue a organização diagnóstica usada em ECG e em bases como PTB-XL.","AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,1,1
,AMI,57054005,Acute myocardial infarction,Acute myocardial infarction (disorder),MI,Myocardial Infarction,"O código SNOMED indica infarto/necrose miocárdica aguda, antiga ou regional; a agregação em MI segue a organização diagnóstica usada em ECG e em bases como PTB-XL.","AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,0,0,0,1
,AMIs,413444003,Acute myocardial ischemia,Acute myocardial ischemia (disorder),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,0,1
,ANEUR,428750005,Nonspecific ST-T abnormality on electrocardiogram,Nonspecific ST-T abnormality on electrocardiogram (finding),STTC,ST-T Change/Ischemia,"O código SNOMED representa alteração de repolarização, segmento ST, onda T/U, intervalo QT ou isquemia miocárdica; esses achados são agrupáveis como STTC/ischemic-repolarization abnormalities.","AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part VI: acute ischemia/infarction. https://pubmed.ncbi.nlm.nih.gov/19281933/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,1,0,1,1
,AP,251268003,Atrial pacing pattern,Atrial pacing pattern (finding),PACE,Paced Rhythm/Device Pattern,O código SNOMED indica ritmo ou padrão de estimulação artificial no ECG; esses achados devem ser agregados separadamente de arritmias espontâneas porque refletem ativação por dispositivo.,AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/,0,0,0,0,0,1
,ARAD,47665007,Right axis deviation,Right axis deviation (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,1,1,0,1,1
,AT,713422000,EKG: atrial tachycardia,Electrocardiographic atrial tachycardia (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,1,0,0,1
,AVD,50799005,Atrioventricular dissociation,Atrioventricular dissociation (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,0,0,0,1
,AVJR,29320008,Ectopic rhythm,Ectopic rhythm (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,1,0,0,1
,AVNRT,233896004,Re-entrant atrioventricular node tachycardia,Re-entrant atrioventricular node tachycardia (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,0,0,0,0
,AVRT,233897008,Re-entrant atrioventricular tachycardia,Re-entrant atrioventricular tachycardia (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,0,0,0,0
,AXL,251200008,Indeterminate cardiac axis,Indeterminate cardiac axis (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,0,0,0,1,1
,BBB,6374002,Bundle branch block,Bundle branch block (disorder),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,0,1,0,1
,BIGU,11157007,Ventricular bigeminy,Ventricular bigeminy (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,1,0,1,1
,BPAC,251170000,Blocked premature atrial contraction,Blocked premature atrial contraction (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,1,0,0,1
,Brady,426627000,ECG: bradycardia,Electrocardiogram: bradycardia (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,1,0,0,1
,Brugada,418818005,Brugada syndrome,Brugada syndrome (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,0,0,0,1
,CAF,426749004,Chronic atrial fibrillation,Chronic atrial fibrillation (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,1,0,0,1
,CCR,251199005,Counterclockwise cardiac rotation,Counterclockwise cardiac rotation (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,1,0,0,0,0
,CD,65778007,Sinoatrial block,Sinoatrial block (disorder),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,0,1,0,1,1
,CD,698247007,Cardiac arrhythmia,Cardiac arrhythmia (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,0,1,0,1
,CHD,53741008,Coronary arteriosclerosis,Coronary arteriosclerosis (disorder),OTHER_CARDIAC,Other Cardiac Disease,O código SNOMED representa condição cardíaca estrutural ou clínica não especificada primariamente como padrão eletrocardiográfico isolado; deve ser mantido como classe clínica separada para evitar mistura com layers morfológicas do ECG.,AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/,0,0,0,1,0,1
